company_name,company_rating,industry,size,type,years_old,location
Royal Orchid Hotels,4.0,Hospitality,1k-5k Employees,Public,38,Hyderabad / Secunderabad
Doordarshan,4.4,Broadcasting,201-500 Employees (Global),,65,Hyderabad / Secunderabad
GTL,4.2,Hardware & Networking,1k-5k Employees,Public,37,Hyderabad / Secunderabad
Ingersoll Rand,4.3,Industrial Machinery,501-1k Employees,Public,52,Hyderabad / Secunderabad
Synapse Design,3.1,Semiconductors,501-1k Employees,,14,Hyderabad / Secunderabad
Ramana Reddy & Associates,5.0,,,,,Hyderabad / Secunderabad
Patel Integrated Logistics,4.3,Logistics,201-500 Employees,Public,65,Hyderabad / Secunderabad
Integra Software Services,4.0,IT Services & Consulting,1k-5k Employees,,30,Hyderabad / Secunderabad
FastandUp,4.0,,51-200 Employees,,9,Hyderabad / Secunderabad
Zieta Technologies,2.8,IT Services & Consulting,201-500 Employees,,23,Hyderabad / Secunderabad
ANSYS,3.7,IT Services & Consulting,501-1k Employees,Forbes Global 2000,54,Hyderabad / Secunderabad
Viom Networks,4.2,Telecom,1k-5k Employees,,14,Hyderabad / Secunderabad
MSD Pharmaceuticals,4.2,Pharma,1k-5k Employees,,59,Hyderabad / Secunderabad
Orblike Technologies,3.3,,,,,Hyderabad / Secunderabad
Trident Techlabs,3.3,IT Services & Consulting,51-200 Employees,,24,Hyderabad / Secunderabad
Red Bull,4.2,Beverage,1k-5k Employees,,37,Hyderabad / Secunderabad
ArcelorMittal,4.0,Iron & Steel,501-1k Employees,Forbes Global 2000,18,Hyderabad / Secunderabad
Saipem,4.1,Engineering & Construction,1k-5k Employees,Forbes Global 2000,67,Hyderabad / Secunderabad
Mahindra Susten,4.2,Engineering & Construction,501-1k Employees,,14,Hyderabad / Secunderabad
Voltech,3.7,Electrical Equipment,1k-5k Employees,,36,Hyderabad / Secunderabad
Apollo Facility Management Services Private Limited,4.9,,,,,Hyderabad / Secunderabad
SRA OSS,3.9,IT Services & Consulting,11-50 Employees,,18,Hyderabad / Secunderabad
Vidyut Technologies India,4.8,,,,,Hyderabad / Secunderabad
SrinSoft Technologies,3.4,IT Services & Consulting,201-500 Employees,,19,Hyderabad / Secunderabad
BPO Systems,4.1,IT Services & Consulting,51-200 Employees (Global),,24,Hyderabad / Secunderabad
ASUS,4.4,Consumer Electronics & Appliances,501-1k Employees,,35,Hyderabad / Secunderabad
Weatherseal,3.8,Building Material,201-500 Employees (Global),,9,Hyderabad / Secunderabad
Webtel Electrosoft,4.1,IT Services & Consulting,201-500 Employees,,24,Hyderabad / Secunderabad
Surya Construction,4.0,Engineering & Construction,51-200 Employees,,31,Hyderabad / Secunderabad
Kutumbh Care,3.9,Recruitment,5k-10k Employees,,17,Hyderabad / Secunderabad
Vibes Healthcare,3.3,Fitness & Wellness,201-500 Employees,,28,Hyderabad / Secunderabad
Bonfiglioli Transmissions Private Limited,3.9,Industrial Machinery,501-1k Employees,,68,Hyderabad / Secunderabad
Singhania Foods International,3.8,,,,,Hyderabad / Secunderabad
SV Constructions,3.5,Engineering & Construction,51-200 Employees,,,Hyderabad / Secunderabad
Cadmaxx Solutions,3.6,IT Services & Consulting,501-1k Employees,,20,Hyderabad / Secunderabad
Apco Infratech,3.9,Engineering & Construction,1k-5k Employees,,32,Hyderabad / Secunderabad
TVS Eurogrip,3.8,Auto Components,1k-5k Employees,Public,42,Hyderabad / Secunderabad
Action Tesa,3.8,Building Material,1k-5k Employees,,54,Pune
Dr ITM,3.6,BPO,51-200 Employees,,25,Jaipur
Market Xcel Data Matrix,2.9,Analytics & KPO,51-200 Employees,,24,Pune
Anand Rathi: Online Stock Trading & Advisory,3.9,Financial Services,1k-5k Employees,,30,Pune
Maxis Software Therapeutics,4.3,IT Services & Consulting,11-50 Employees (Global),,,Hyderabad / Secunderabad
Warner Bros. Discovery,4.0,,,,,Pune
Khaitan Electricals,3.2,Food Processing,201-500 Employees,Public,43,Kolkata
TSTRANSCO,4.1,,10k-50k Employees,,,Hyderabad / Secunderabad
Triumph Systems and Solutions,4.0,Hardware & Networking,51-200 Employees,,19,Hyderabad / Secunderabad
CH.GOWRI SHANKAR INFRA BUILD,4.3,,11-50 Employees (Global),,,Hyderabad / Secunderabad
Freecharge,4.0,FinTech,501-1k Employees,Conglomerate,14,Hyderabad / Secunderabad
Strategic Learning Solutions,4.4,BPO,201-500 Employees,,28,Hyderabad / Secunderabad
Abhinav Outsourcings,4.0,Legal,201-500 Employees,,30,Hyderabad / Secunderabad
Coldstar Logistics,4.3,,11-50 Employees,,14,Hyderabad / Secunderabad
Inno Fab India,3.9,,51-200 Employees,,18,Hyderabad / Secunderabad
Illusion Dental Laboratory,3.8,Medical Equipment,11-50 Employees,,20,Hyderabad / Secunderabad
Jlnphenix Energy,3.5,,11-50 Employees,,,Hyderabad / Secunderabad
Tata Motors Insurance Broking And Advisory Services,4.0,Insurance,201-500 Employees,,16,Hyderabad / Secunderabad
Indian Drugs and Pharmaceuticals,3.0,Financial Services,501-1k Employees (Global),,63,Hyderabad / Secunderabad
Wanbury,3.5,Pharma,1k-5k Employees,Public,36,Hyderabad / Secunderabad
Biomax Fuels,4.2,,51-200 Employees (Global),,,Hyderabad / Secunderabad
JP Infra,3.8,Real Estate,201-500 Employees,,18,Hyderabad / Secunderabad
Pathkind Diagnostics Private Limited,4.0,Healthcare,501-1k Employees,,8,Hyderabad / Secunderabad
Grabizz Fashion,4.1,,,,,Hyderabad / Secunderabad
Wise Equation Solutions,3.6,,,,,Hyderabad / Secunderabad
Fisker Vigyan,4.4,Automobile,51-200 Employees,,,Hyderabad / Secunderabad
Technodeed,4.0,,,,,Hyderabad / Secunderabad
Madison Technology,4.5,,,,,Hyderabad / Secunderabad
Niit Foundation,4.1,Education & Training,501-1k Employees,,20,Hyderabad / Secunderabad
Relay Express,4.3,Travel & Tourism,501-1k Employees,,12,Hyderabad / Secunderabad
Bigtree Entertainment,4.2,Internet,201-500 Employees,,25,Hyderabad / Secunderabad
Nexgen,3.3,Telecom,11-50 Employees (Global),,22,Hyderabad / Secunderabad
myPaisaa,2.6,Internet,51-200 Employees,Startup,4,Hyderabad / Secunderabad
Pradhan Mantri Kaushal Vikas Yojana,4.0,Education & Training,1-10 Employees,Public,9,Hyderabad / Secunderabad
Innover Digital,3.7,,201-500 Employees,,,Hyderabad / Secunderabad
World Wide Technology,4.3,IT Services & Consulting,201-500 Employees,,34,Hyderabad / Secunderabad
Sytech Labs,4.7,,,,,Hyderabad / Secunderabad
VU Technologies,4.1,Financial Services,501-1k Employees,,,Hyderabad / Secunderabad
English & Foreign Languages University (Central Government Organisation),5.0,Education & Training,51-200 Employees,,,Hyderabad / Secunderabad
GIVA Jewellery,3.7,Internet,51-200 Employees,Startup,5,Hyderabad / Secunderabad
RRG Engineering Technologies,4.6,,,,,Hyderabad / Secunderabad
IDEA ELAN,3.0,IT Services & Consulting,11-50 Employees (Global),,14,Hyderabad / Secunderabad
FITSO,3.9,Internet,,Startup,9,Hyderabad / Secunderabad
Inwiton Technologies,4.1,,,,,Hyderabad / Secunderabad
Vipra Infotech,4.8,,,,,Hyderabad / Secunderabad
Lubi Industries Llp,4.3,Industrial Machinery,1k-5k Employees,,59,Hyderabad / Secunderabad
HomeTown,4.2,,501-1k Employees,Public,18,Hyderabad / Secunderabad
Rize Software Solutions,2.6,Software Product,,,,Hyderabad / Secunderabad
Lemon Flip Solutions,4.7,,,,,Hyderabad / Secunderabad
K-Technologies,4.4,Electronics Manufacturing,,,,Hyderabad / Secunderabad
Sumax Engineering,3.7,Architecture & Interior Design,51-200 Employees,,,Hyderabad / Secunderabad
Anuvega Technologies,3.4,Electronics Manufacturing,51-200 Employees,,11,Hyderabad / Secunderabad
Commercial Taxes Department,4.3,,10k-50k Employees (Global),,,Hyderabad / Secunderabad
Astralprise Software Technologies,4.7,,,,,Hyderabad / Secunderabad
Pronteff IT Solutions,3.3,,11-50 Employees,,,Hyderabad / Secunderabad
Log 9 Materials Scientific,3.7,,201-500 Employees,,9,Hyderabad / Secunderabad
RG ENGINEERS,2.1,,,,,Hyderabad / Secunderabad
Intercraft Trading,4.5,Beauty & Personal Care,201-500 Employees,,30,Hyderabad / Secunderabad
RSM India,3.4,Accounting & Auditing,1k-5k Employees,,60,Hyderabad / Secunderabad
Ambit Finvest,4.0,NBFC,1k-5k Employees,,,Hyderabad / Secunderabad
Doc Online,2.9,Financial Services,,,8,Hyderabad / Secunderabad
Elegant Embedded Solutions,3.4,,,,,Hyderabad / Secunderabad
The White Teak Company,3.7,,201-500 Employees,,8,Hyderabad / Secunderabad
Bridgegap Consultants,3.9,,11-50 Employees,,10,Hyderabad / Secunderabad
Advanced Medtech Solutions,3.6,Medical Equipment,51-200 Employees,,11,Hyderabad / Secunderabad
I.B.S.,3.7,IT Services & Consulting,,,,Hyderabad / Secunderabad
India Ratings & Research,3.7,Financial Services,51-200 Employees,,29,Hyderabad / Secunderabad
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Indore
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Indore
Cipla,4.1,Pharma,10k-50k Employees,Public,89,Indore
TaskUs,3.5,BPO,5k-10k Employees,,16,Indore
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Indore
VE Commercial Vehicles,4.1,Automobile,1k-5k Employees,,16,Indore
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Indore
Lupin,4.1,Pharma,1k-5k Employees,Public,56,Indore
Taurus BPO Services,4.6,BPO,1k-5k Employees,,9,Indore
Swastika Investmart,4.4,Investment Banking / Venture Capital / Private Equity,501-1k Employees,Public,32,Indore
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Indore
Reliance Retail,4.0,Retail,1 Lakh+ Employees,,18,Indore
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Indore
Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6,Indore
Cyber Infrastructure,3.4,IT Services & Consulting,501-1k Employees,,21,Indore
YASH Technologies,3.8,IT Services & Consulting,5k-10k Employees,,28,Indore
DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,7,Indore
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Indore
Viatris,4.2,Pharma,10k-50k Employees,Forbes Global 2000,4,Indore
InfoBeans,3.6,IT Services & Consulting,1k-5k Employees,Public,24,Indore
Hinduja Global Solutions,4.0,IT Services & Consulting,10k-50k Employees,Public,24,Indore
AU Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,28,Indore
Glenmark Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,47,Indore
Rakuten Symphony,3.6,,1k-5k Employees,,3,Indore
Kotak Mahindra Bank,3.9,Banking,50k-1 Lakh Employees,Public,21,Indore
HDB Financial Services,4.0,NBFC,1 Lakh+ Employees,,17,Indore
Impetus Technologies,3.6,IT Services & Consulting,1k-5k Employees,,33,Indore
Ipca Laboratories,4.0,Pharma,10k-50k Employees,Public,75,Indore
Galaxy Weblinks,3.9,IT Services & Consulting,501-1k Employees,,24,Indore
InnoEye Technologies,3.5,IT Services & Consulting,501-1k Employees,,12,Indore
Sayaji Hotels,4.3,Hospitality,1k-5k Employees,Public,37,Indore
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Indore
Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,23,Indore
Force Motors,3.6,Automobile,1k-5k Employees,Public,66,Indore
Iksula,3.8,IT Services & Consulting,501-1k Employees,,17,Indore
Conneqt Business Solutions,3.7,BPO,10k-50k Employees,,22,Indore
ShopKirana,3.8,Software Product,501-1k Employees,Startup,10,Indore
Jana Small Finance Bank,3.9,Banking,10k-50k Employees,Public,18,Indore
CapitalVia,4.1,Analytics & KPO,501-1k Employees,,19,Indore
WM Logistics,3.7,Logistics,501-1k Employees,,13,Indore
FIS,3.9,FinTech,10k-50k Employees,,56,Indore
Capita,3.8,IT Services & Consulting,5k-10k Employees,,19,Indore
Waste Management Holdings,3.9,Waste Management,51-200 Employees,Forbes Global 2000,56,Indore
LanceSoft,3.2,Recruitment,1k-5k Employees,,24,Indore
Macleods Pharmaceuticals,3.8,Pharma,10k-50k Employees,Public,38,Indore
Yutika Natural,4.0,,,,,Indore
Kogta Financial India Limited,4.8,NBFC,1k-5k Employees,Public,28,Indore
Velnik India,3.4,Beauty & Personal Care,1k-5k Employees,,7,Indore
Jash Engineering,4.2,Engineering & Construction,51-200 Employees,Public,76,Indore
SRF,4.3,Chemicals,5k-10k Employees,Public,54,Indore
Uniinfo Telecom Services,4.0,Telecom,201-500 Employees,Public,14,Indore
RWS Group,3.9,IT Services & Consulting,5k-10k Employees,,68,Indore
Par Pharmaceutical Companies,4.4,Pharma,201-500 Employees,,46,Indore
Asian Paints,4.1,Chemicals,5k-10k Employees,Public,82,Indore
Shalby Hospitals,4.6,Healthcare,1k-5k Employees,Public,30,Indore
HDFC Life,4.1,Insurance,10k-50k Employees,Public,24,Indore
Patanjali Foods,4.0,FMCG,5k-10k Employees,Public,38,Indore
Beyond Key Systems,4.5,IT Services & Consulting,201-500 Employees,,19,Indore
Ujaas Energy,3.6,Power,201-500 Employees,Public,45,Indore
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Indore
Flipkart,4.0,Internet,10k-50k Employees,Public,17,Indore
ITL Industries,3.6,Industrial Machinery,51-200 Employees,Public,39,Indore
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Indore
Prem Henna,3.5,Beauty & Personal Care,201-500 Employees,,94,Indore
Dezire Research,4.4,Investment Banking / Venture Capital / Private Equity,51-200 Employees,,8,Indore
MoreYeahs,4.3,IT Services & Consulting,51-200 Employees,,10,Indore
Paytm,3.5,FinTech,10k-50k Employees,Public,14,Indore
Yes Bank,3.9,Banking,10k-50k Employees,Public,20,Indore
Dilip Buildcon,4.1,Engineering & Construction,10k-50k Employees,Public,37,Indore
IIFL Finance,4.0,NBFC,10k-50k Employees,Public,29,Indore
Gramophone,4.1,Agriculture,201-500 Employees,Startup,8,Indore
Deqode,3.6,IT Services & Consulting,51-200 Employees,,12,Indore
Kriti Industries,3.9,Building Material,501-1k Employees,,41,Indore
Patel Motors,3.7,Auto Components,11-50 Employees,,31,Indore
Mahindra & Mahindra,4.2,Automobile,1 Lakh+ Employees,Public,79,Indore
REDVision Global Technologies,4.6,FinTech,51-200 Employees,,18,Indore
Carryfast group,3.8,Logistics,501-1k Employees,,48,Indore
Protonshub Technologies,4.4,IT Services & Consulting,51-200 Employees,,6,Indore
Continuum Global Solutions,3.6,BPO,11-50 Employees,,,Indore
Yellow Diamond,4.2,FMCG,1k-5k Employees,Public,15,Indore
Bajaj Finance,4.1,NBFC,10k-50k Employees,,37,Indore
DMart,4.0,Retail,10k-50k Employees,Fortune India 500,22,Indore
SMFG India Credit,4.1,NBFC,10k-50k Employees,,17,Indore
Hindustan Unilever,4.3,FMCG,10k-50k Employees,Public,152,Indore
Udaan,4.0,,1k-5k Employees,Indian Unicorn,8,Indore
Reliance General Insurance,3.9,Insurance,5k-10k Employees,,24,Indore
ICICI Prudential Life Insurance,4.1,Insurance,10k-50k Employees,Public,24,Indore
Samvardhana Motherson Group,3.8,Auto Components,1k-5k Employees,Public,38,Indore
Altruist Technologies,3.2,BPO,1k-5k Employees,,19,Indore
Systematix Infotech,3.8,IT Services & Consulting,201-500 Employees,,19,Indore
Choksi Laboratories,3.4,,51-200 Employees,Public,42,Indore
Apollo Hospitals,4.2,Healthcare,10k-50k Employees,Public,41,Indore
SynergyTop,4.6,IT Services & Consulting,51-200 Employees,,10,Indore
Samsung,4.1,Consumer Electronics & Appliances,50k-1 Lakh Employees,Public,55,Indore
JK Cement,4.2,Building Material,1k-5k Employees,Public,49,Indore
Shakti Pumps,3.9,Industrial Machinery,501-1k Employees,Public,42,Indore
Bridgestone,4.2,Auto Components,1k-5k Employees,Forbes Global 2000,28,Indore
CreativeFuel,4.4,Marketing & Advertising,51-200 Employees,Startup,4,Indore
Oorja Technical Services,3.4,Electrical Equipment,51-200 Employees,,20,Indore
Bajaj Finserv,4.1,Financial Services,50k-1 Lakh Employees,Public,17,Indore
Skillventory,3.8,Recruitment,51-200 Employees,,16,Indore
ICICI Lombard General Insurance Company,3.8,Insurance,10k-50k Employees,Public,23,Indore
OPPO,4.0,Consumer Electronics & Appliances,10k-50k Employees,Public,20,Indore
Home Credit Finance,4.1,Financial Services,10k-50k Employees,,12,Indore
Vivo,4.1,Consumer Electronics & Appliances,5k-10k Employees,Conglomerate,15,Indore
First Source,3.8,BPO,10k-50k Employees,Public,23,Indore
Shriram Finance,4.1,NBFC,50k-1 Lakh Employees,Public,45,Indore
Pataa,4.7,Software Product,51-200 Employees,,,Indore
Conduent,3.6,BPO,5k-10k Employees,,7,Indore
Reliance Communications,4.0,Telecom,201-500 Employees,Public,22,Indore
Unichem Laboratories,3.9,Pharma,1k-5k Employees,Public,80,Indore
Xtrim Global Solutions,4.8,BPO,51-200 Employees,,15,Indore
Amazon Development Centre India,4.2,Internet,10k-50k Employees,,,Indore
Balaji Wafers,4.3,FMCG,1k-5k Employees,,40,Indore
Evitamin Business Consulting,3.7,Marketing & Advertising,201-500 Employees,,,Indore
Oyo Rooms,3.4,Hospitality,1k-5k Employees,Indian Unicorn,11,Indore
Tata Capital,4.2,NBFC,5k-10k Employees,Fortune India 500,17,Indore
UltraTech Cement,4.2,Building Material,10k-50k Employees,Public,41,Indore
Canopus Infosystems,4.4,IT Services & Consulting,11-50 Employees,,13,Indore
Eicher Motors,4.2,Automobile,5k-10k Employees,Public,42,Indore
Codiant Software Technologies,3.7,IT Services & Consulting,201-500 Employees,,14,Indore
Lms Solutions,3.4,Internet,51-200 Employees,,16,Indore
Dainik Bhaskar Group,4.4,Printing & Publishing,5k-10k Employees,Public,66,Indore
Pratibha Syntex,4.2,Fashion & Textile,501-1k Employees,,27,Indore
CARS24,3.7,Internet,5k-10k Employees,Indian Unicorn,9,Indore
Alkem Laboratories,4.0,Pharma,10k-50k Employees,Public,51,Indore
JBM Group,4.0,Auto Components,1k-5k Employees,Public,41,Indore
SGS,4.0,,1k-5k Employees,Forbes Global 2000,146,Indore
Max Life Insurance,4.2,Insurance,10k-50k Employees,,24,Indore
Kalyan Toll Infrastructure,4.4,Engineering & Construction,51-200 Employees,,22,Indore
Appalto Electronics Private Limited,3.7,Industrial Automation,201-500 Employees,,41,Indore
Vertisystem,4.1,IT Services & Consulting,51-200 Employees,,17,Indore
Serosoft Solutions,3.2,IT Services & Consulting,201-500 Employees,,16,Indore
ICS Instrumentation & Control Solution,4.0,Industrial Automation,51-200 Employees,,,Indore
Abacus Consultancy Services,4.2,IT Services & Consulting,51-200 Employees,,22,Indore
Aakash Global Foods,4.3,FMCG,51-200 Employees,,92,Indore
Batchmaster Software,3.9,Software Product,201-500 Employees,,41,Indore
ClearTrail Technologies,3.8,Emerging Technologies,201-500 Employees,,23,Indore
Delhivery,4.0,Logistics,10k-50k Employees,Fortune India 500,13,Indore
L&T Construction,4.1,Engineering & Construction,5k-10k Employees,Public,80,Indore
RSPL Group,4.2,FMCG,10k-50k Employees,,36,Indore
BigBasket,4.0,Internet,10k-50k Employees,Indian Unicorn,13,Indore
Webgility,3.8,IT Services & Consulting,51-200 Employees,,17,Indore
Vacmet India,4.4,Packaging,501-1k Employees,Public,31,Indore
Ralson India,3.8,Auto Components,501-1k Employees,Public,50,Indore
WebKorps Solutions,3.7,IT Services & Consulting,51-200 Employees,,8,Indore
Equitas Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,17,Indore
Potomac Technologies,3.9,Financial Services,51-200 Employees,,,Indore
Controlf5,4.6,IT Services & Consulting,11-50 Employees,,12,Indore
National Steel & Agro Industries,3.7,Iron & Steel,201-500 Employees,,39,Indore
Quest Global Technologies,3.9,IT Services & Consulting,51-200 Employees,,11,Indore
Bharti Infratel,4.3,Telecom,1k-5k Employees,Public,18,Indore
Shj International,4.1,IT Services & Consulting,51-200 Employees,,,Indore
Epic Research,3.5,Financial Services,51-200 Employees,,13,Indore
SpeedLabs,3.5,EdTech,201-500 Employees,Startup,9,Indore
Aavas Financiers,4.0,Financial Services,5k-10k Employees,Public,13,Indore
Havells,4.1,Electrical Equipment,5k-10k Employees,Public,41,Indore
Sri Aurobindo Institute of Medical Sciences,3.9,,501-1k Employees,,21,Indore
TVS Credit,4.5,NBFC,10k-50k Employees,Public,16,Indore
Sanghi Brothers,3.5,Auto Components,501-1k Employees,,74,Indore
Bombay Hospital,4.2,Healthcare,501-1k Employees,,72,Indore
Piramal Capital Housing Finance,4.3,NBFC,1k-5k Employees,,4,Indore
Mosphe,3.9,,,,,Indore
HDFC Sales,4.1,Financial Services,10k-50k Employees,,20,Indore
Liugong India,3.4,Engineering & Construction,201-500 Employees,,66,Indore
1point1 Solutions,3.4,BPO,5k-10k Employees,Public,16,Indore
Walkover Web Solutions,2.7,IT Services & Consulting,11-50 Employees,,17,Indore
makin Laboratories,3.2,Fitness & Wellness,51-200 Employees,,,Indore
Adroit Industries India,3.4,Industrial Machinery,11-50 Employees,,58,Indore
Dabur,3.8,FMCG,5k-10k Employees,Public,140,Indore
Bajaj Allianz Life Insurance,4.1,Insurance,10k-50k Employees,,23,Indore
Stanza Living,3.1,Internet,501-1k Employees,Startup,7,Indore
Poonawalla Fincorp,3.9,NBFC,1k-5k Employees,Public,36,Indore
Mphasis,3.5,IT Services & Consulting,10k-50k Employees,Public,26,Indore
Manappuram Finance,4.0,NBFC,10k-50k Employees,Public,75,Indore
Piramal Group,4.0,Financial Services,10k-50k Employees,Fortune India 500,44,Indore
Immersive Infotech,4.6,IT Services & Consulting,51-200 Employees,,13,Indore
Ujjivan Small Finance Bank,4.1,Banking,10k-50k Employees,Public,7,Indore
Indiabulls Home Loans,3.9,NBFC,5k-10k Employees,Public,19,Indore
Pidilite Industries,4.4,Chemicals,5k-10k Employees,Public,65,Indore
Walmart,4.0,Retail,5k-10k Employees,Forbes Global 2000,15,Indore
DTDC Express,3.8,Logistics,1k-5k Employees,,34,Indore
Softstandard Solutions,4.3,IT Services & Consulting,201-500 Employees,,11,Indore
WNS,3.5,BPO,10k-50k Employees,,28,Indore
Cholamandalam Investment & Finance,4.1,NBFC,10k-50k Employees,Fortune India 500,46,Indore
Quess,4.0,BPO,1k-5k Employees,Public,17,Indore
D&H Sécheron Electrodes,4.0,Industrial Machinery,201-500 Employees,,58,Indore
SBI Cards & Payment Services,3.8,Financial Services,1k-5k Employees,,26,Indore
Bakersville,4.4,,51-200 Employees,,13,Indore
Chl Hospital,4.0,,1k-5k Employees,,,Indore
Choithram Hospital & Research Centre,4.2,Healthcare,1k-5k Employees,,45,Indore
Radisson Hotels,4.1,Hospitality,5k-10k Employees,,115,Indore
Tata Motors,4.2,Automobile,10k-50k Employees,Public,79,Indore
CapitalAim Financial Advisor,2.3,Investment Banking / Venture Capital / Private Equity,51-200 Employees,,13,Indore
Eureka Forbes,3.9,Consumer Electronics & Appliances,1k-5k Employees,,42,Indore
Indian Steel Corporation,4.2,Iron & Steel,1k-5k Employees,Public,20,Indore
PolicyX.com,3.5,FinTech,51-200 Employees,Startup,11,Indore
Hindustan Equipments,3.9,Industrial Machinery,51-200 Employees,,26,Indore
USHA International,4.2,Consumer Electronics & Appliances,1k-5k Employees,Public,90,Indore
Indiamart Intermesh,3.6,Internet,5k-10k Employees,,28,Indore
EMINENT BIOSCIENCES,4.9,Biotechnology,11-50 Employees,,,Indore
AVTEC,3.8,Auto Components,1k-5k Employees,Conglomerate,19,Indore
Hettich,3.8,Furniture & Furnishing,1k-5k Employees,,136,Indore
Rivigo,3.9,Internet,1k-5k Employees,Indian Unicorn,10,Indore
BestPeers Infosystem,4.0,IT Services & Consulting,51-200 Employees,,7,Indore
Cummins,4.4,Industrial Machinery,1k-5k Employees,Fortune India 500,105,Indore
Arihant Capital Markets,3.4,Financial Services,201-500 Employees,Public,32,Indore
Inwizards Software Technology,3.9,IT Services & Consulting,51-200 Employees,,11,Indore
Metro Cash & Carry,4.3,Retail,1k-5k Employees,Forbes Global 2000,21,Indore
Fincare Small Finance Bank,4.1,Banking,10k-50k Employees,,17,Indore
Sun Pharmaceutical Industries,4.1,Pharma,10k-50k Employees,Public,41,Indore
Ways2Capital,3.8,Financial Services,51-200 Employees,,14,Indore
Human Matrix Securite,4.6,,,,,Indore
Parle Agro,3.1,Beverage,5k-10k Employees,,40,Indore
Inox Leisure,4.1,Media & Entertainment,1k-5k Employees,Public,25,Indore
VISTRA INTERNATIONAL EXPANSION,3.7,Other,501-1k Employees,,32,Indore
VSN International,3.7,IT Services & Consulting,51-200 Employees,Public,24,Indore
Tata AIG,4.1,Insurance,5k-10k Employees,,24,Indore
Aakash Educational Services,3.6,EdTech,5k-10k Employees,,36,Indore
Abbott,4.2,Pharma,10k-50k Employees,Public,136,Indore
ESP Softtech Private Limited,4.9,Software Product,11-50 Employees,,11,Indore
CloudLIMS Lab Solutions,4.4,,11-50 Employees,,,Indore
Mindlance,4.0,Recruitment,1k-5k Employees,,25,Indore
Dee Tee Industries,4.0,Industrial Machinery,1k-5k Employees,,49,Indore
Duroflex,4.1,Furniture & Furnishing,501-1k Employees,,61,Indore
Capri Global Capital,3.7,NBFC,1k-5k Employees,Public,27,Indore
Croma,4.0,Retail,5k-10k Employees,,18,Indore
Medanta the Medicity,4.1,Healthcare,5k-10k Employees,,15,Indore
Muthoot Finance,3.6,NBFC,10k-50k Employees,Public,85,Indore
Xerox,3.9,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,,Indore
Rakuten,3.7,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,27,Indore
Aavantika Gas,3.6,Oil & Gas,51-200 Employees,,18,Indore
AM Webtech,4.1,IT Services & Consulting,51-200 Employees,,9,Indore
Scientech Technologies,3.8,Electronics Manufacturing,201-500 Employees,,41,Indore
Hindustan Coca Cola Beverages,4.3,Beverage,5k-10k Employees,,27,Indore
Medi-Caps University,4.3,Education & Training,,,,Indore
RBL Bank,3.8,Banking,10k-50k Employees,Public,81,Indore
Cipla Industries,4.1,Pharma,11-50 Employees,,26,Indore
Index Medical College Hospital & Research Center Indore,4.5,,,,,Indore
Brand Concepts,4.1,Retail,501-1k Employees,,25,Indore
Kusum Healthcare,4.0,Pharma,501-1k Employees,,27,Indore
Suminter India Organics,3.8,FMCG,201-500 Employees,,20,Indore
Syncom Formulations India,3.4,Pharma,201-500 Employees,Public,18,Indore
Pinnacle Industries,4.0,Auto Components,501-1k Employees,,28,Indore
XpressBees,3.8,Logistics,5k-10k Employees,Indian Unicorn,9,Indore
Berger Paints,3.8,Chemicals,1k-5k Employees,Public,101,Indore
TriFid Research,1.9,Financial Services,201-500 Employees (Global),,14,Indore
India Infotech,4.5,IT Services & Consulting,51-200 Employees,,,Indore
Punjab Jewels,4.0,Retail,51-200 Employees,,74,Indore
Dhani Loans and Services,3.9,NBFC,1k-5k Employees,,,Indore
Pratap Technocrats,4.0,Telecom,10k-50k Employees,,26,Indore
Flexituff Ventures International,3.9,Packaging,51-200 Employees,Public,58,Indore
Blue Star,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,81,Indore
ValueLabs,3.9,IT Services & Consulting,5k-10k Employees,,27,Indore
Maral Overseas,3.6,Fashion & Textile,1k-5k Employees,Public,33,Indore
Signet Industries,3.3,,501-1k Employees,,39,Indore
PVR Cinemas,4.1,Media & Entertainment,1k-5k Employees,Public,27,Indore
McW Healthcare,4.2,,51-200 Employees,,36,Indore
Computronics Systems,4.0,IT Services & Consulting,501-1k Employees,,28,Indore
Gammastack,3.5,IT Services & Consulting,201-500 Employees,,12,Indore
